data_seed,node_index,top_k,model_seed_a,model_seed_b,jaccard
2026,260,8,0,2,1.0
2026,260,8,1,2,1.0
2026,145,2,0,1,1.0
2026,145,2,0,2,1.0
2026,145,2,1,2,1.0
2026,145,4,0,1,1.0
2026,145,4,0,2,1.0
2026,145,4,1,2,1.0
2026,145,6,0,1,1.0
2026,145,6,0,2,1.0
2026,145,6,1,2,1.0
2026,145,8,0,1,1.0
2026,145,8,0,2,1.0
2026,145,8,1,2,1.0
2026,76,2,0,1,1.0
2026,76,2,0,2,1.0
2026,76,2,1,2,1.0
2026,76,4,0,1,1.0
2026,76,4,0,2,1.0
2026,76,4,1,2,1.0
2026,76,6,0,1,1.0
2026,76,6,0,2,1.0
2026,76,6,1,2,1.0
2026,76,8,0,1,1.0
2026,76,8,0,2,1.0
2026,76,8,1,2,1.0
2027,56,2,0,1,1.0
2027,56,2,0,2,1.0
2027,56,2,1,2,1.0
2027,56,4,0,1,1.0
2027,56,4,0,2,1.0
2027,56,4,1,2,1.0
2027,56,6,0,1,1.0
2027,56,6,0,2,1.0
2027,56,6,1,2,1.0
2027,56,8,0,1,1.0
2027,56,8,0,2,1.0
2027,56,8,1,2,1.0
2027,484,2,0,1,1.0
2027,484,2,0,2,1.0
2027,484,2,1,2,1.0
2027,484,4,0,1,1.0
2027,484,4,0,2,1.0
2027,484,4,1,2,1.0
2027,484,6,0,1,1.0
2027,484,6,0,2,1.0
2027,484,6,1,2,1.0
2027,484,8,0,1,1.0
2027,484,8,0,2,1.0
2027,484,8,1,2,1.0
2027,474,2,0,1,1.0
2027,474,2,0,2,1.0
2027,474,2,1,2,1.0
2027,474,4,0,1,1.0
2027,474,4,0,2,1.0
2027,474,4,1,2,1.0
2027,474,6,0,1,1.0
2027,474,6,0,2,1.0
2027,474,6,1,2,1.0
2027,474,8,0,1,1.0
2027,474,8,0,2,1.0
2027,474,8,1,2,1.0
2027,156,2,0,1,1.0
2027,156,2,0,2,1.0
2027,156,2,1,2,1.0
2027,156,4,0,1,1.0
2027,156,4,0,2,1.0
2027,156,4,1,2,1.0
2027,156,6,0,1,1.0
2027,156,6,0,2,1.0
2027,156,6,1,2,1.0
2027,156,8,0,1,1.0
2027,156,8,0,2,1.0
2027,156,8,1,2,1.0
2027,408,2,0,1,1.0
2027,408,2,0,2,1.0
2027,408,2,1,2,1.0
2027,408,4,0,1,1.0
2027,408,4,0,2,1.0
2027,408,4,1,2,1.0
2027,408,6,0,1,1.0
2027,408,6,0,2,1.0
2027,408,6,1,2,1.0
2027,408,8,0,1,1.0
2027,408,8,0,2,1.0
2027,408,8,1,2,1.0
2027,36,2,0,1,1.0
2027,36,2,0,2,1.0
2027,36,2,1,2,1.0
2027,36,4,0,1,1.0
2027,36,4,0,2,1.0
2027,36,4,1,2,1.0
2027,36,6,0,1,1.0
2027,36,6,0,2,1.0
2027,36,6,1,2,1.0
2027,36,8,0,1,1.0
2027,36,8,0,2,1.0
2027,36,8,1,2,1.0
2027,253,2,0,1,1.0
2027,253,2,0,2,1.0
2027,253,2,1,2,1.0
2027,253,4,0,1,1.0
2027,253,4,0,2,1.0
2027,253,4,1,2,1.0
2027,253,6,0,1,1.0
2027,253,6,0,2,1.0
2027,253,6,1,2,1.0
2027,253,8,0,1,1.0
2027,253,8,0,2,1.0
2027,253,8,1,2,1.0
2027,591,2,0,1,1.0
2027,591,2,0,2,1.0
2027,591,2,1,2,1.0
2027,591,4,0,1,1.0
2027,591,4,0,2,1.0
2027,591,4,1,2,1.0
2027,591,6,0,1,1.0
2027,591,6,0,2,1.0
2027,591,6,1,2,1.0
