data_seed,model_seed,node_index,top_k,fidelity_plus,fidelity_minus,characterization,sparsity,random_edge_delta_mean,causal_edge_precision,causal_edge_recall,random_causal_edge_precision,random_causal_edge_recall
2026,0,31,2,0.056655630469322205,0.0018797516822814941,0.10722492444113627,0.8,0.015488958358764649,1.0,0.5,0.475,0.2375
2026,0,31,4,0.10057215392589569,0.004621386528015137,0.18268589083857179,0.6,0.01912654936313629,0.75,0.75,0.325,0.325
2026,0,31,6,0.10057215392589569,0.009951531887054443,0.18259567977544855,0.4,0.04696866422891617,0.5,0.75,0.37499999999999994,0.5625
2026,0,31,8,0.10057215392589569,0.0,0.18276339914132966,0.19999999999999996,0.08604736328125,0.5,1.0,0.4,0.8
2026,0,38,2,0.029585525393486023,0.008336395025253296,0.057456869032921506,0.8,0.018530531600117684,1.0,0.5,0.475,0.2375
2026,0,38,4,0.08276955038309097,0.0014651566743850708,0.15286774104457412,0.6,0.028756747022271156,1.0,1.0,0.4,0.4
2026,0,38,6,0.08276955038309097,0.0004182979464530945,0.15287999688433915,0.4,0.044547810405492785,0.6666666666666666,1.0,0.4083333333333333,0.6125
2026,0,38,8,0.08276955038309097,0.0,0.15288488737757092,0.19999999999999996,0.06264351420104504,0.5,1.0,0.43125,0.8625
2026,0,40,2,0.08748713880777359,0.005280837416648865,0.1608291013271966,0.8571428571428572,0.008367819711565971,1.0,0.5,0.375,0.1875
2026,0,40,4,0.08748713880777359,0.002568058669567108,0.16086447053980543,0.7142857142857143,0.01544981710612774,0.5,0.5,0.275,0.275
2026,0,40,6,0.08748713880777359,0.0030967332422733307,0.16085759156320395,0.5714285714285714,0.024514561146497728,0.3333333333333333,0.5,0.275,0.4125
2026,0,40,8,0.08748713880777359,0.0019042007625102997,0.1608730989979969,0.4285714285714286,0.034962239861488345,0.5,1.0,0.26875,0.5375
2026,0,43,2,0.034083396196365356,0.023850619792938232,0.06586697016677968,0.7142857142857143,0.00990213304758072,0.5,0.25,0.425,0.2125
2026,0,43,4,0.03341323137283325,0.017042815685272217,0.06462953923521736,0.4285714285714286,0.01736924350261688,0.5,0.5,0.5625,0.5625
2026,0,43,6,0.03341323137283325,0.0,0.06466577039747322,0.1428571428571429,0.029126071929931642,0.6666666666666666,1.0,0.5916666666666666,0.8875
2026,0,43,8,0.03341323137283325,0.0,0.06466577039747322,0.0,0.03341323137283325,0.5714285714285714,1.0,0.5714285714285714,1.0
2026,0,45,2,0.03264763951301575,0.05480411648750305,0.06311524031702832,0.8,0.03152272254228592,1.0,0.5,0.425,0.2125
2026,0,45,4,0.05762842297554016,0.016979992389678955,0.10887421943276981,0.6,0.03579186499118805,0.75,0.75,0.3875,0.3875
2026,0,45,6,0.05762842297554016,0.007828831672668457,0.10892985713881352,0.4,0.05235126242041588,0.5,0.75,0.3666666666666666,0.55
2026,0,45,8,0.05762842297554016,0.0,0.1089766911017915,0.19999999999999996,0.06094571202993393,0.5,1.0,0.4375,0.875
2026,0,46,2,0.01381412148475647,0.04909193515777588,0.027232626583572516,0.8571428571428572,0.010537683218717574,1.0,0.5,0.225,0.1125
2026,0,46,4,0.14382578432559967,0.010940924286842346,0.2511326655101225,0.7142857142857143,0.03051619976758957,0.75,0.75,0.2875,0.2875
2026,0,46,6,0.14382578432559967,0.0013127624988555908,0.2514404168451575,0.5714285714285714,0.036278415471315384,0.6666666666666666,1.0,0.2833333333333333,0.425
2026,0,46,8,0.14382578432559967,0.0034450963139533997,0.25137270764568453,0.4285714285714286,0.07293783128261566,0.5,1.0,0.3,0.6
2026,0,53,2,0.019000142812728882,0.00583118200302124,0.03728765931954412,0.75,0.015571586787700653,1.0,0.5,0.55,0.275
2026,0,53,4,0.09617367386817932,0.002164408564567566,0.17543821206695273,0.5,0.017795219644904138,0.75,0.75,0.4875,0.4875
2026,0,53,6,0.09617367386817932,0.0,0.1754715993658222,0.25,0.05207436569035053,0.6666666666666666,1.0,0.4916666666666666,0.7375
2026,0,53,8,0.09617367386817932,0.0,0.1754715993658222,0.0,0.09617367386817932,0.5,1.0,0.5,1.0
